Year,ID,Head_Age,Head_Age_,Head_Sex,Head_Education_Level,Head_Activity_Status,Head_Marital_Status,Household_Size,Aid_Income_Share,Labor_Income_Share,Pension_Income_Share,Capital_Income_Share,Imputed_Rent_Share,Other_NonCash_Income_Share,Household_Weight,Net_Expenditure,OECD_Modified,Dependency_Ratio_Age,Dependency_Ratio_Employment,Tenure_Type,Urban_Rural
1400,22303632920,60-70,62,Female,Illiterate,Income_without_Work,Married,1,0.07,0.0,0.0,0.23,0.7,0.0,742,310960000.0,1.0,0.0,1.0,Owner,Rural
1400,22303632923,60-70,67,Male,Under_Diploma,Income_without_Work,Married,4,0.24,0.0,0.33,0.0,0.32,0.11,742,858222000.0,2.5,1.0,4.0,Owner,Rural
1400,22313636920,50-60,50,Female,Illiterate,Employed,Widowed,6,0.0,0.89,0.0,0.0,0.11,0.0,580,431060000.0,2.9,1.0,1.0,Owner,Rural
1400,22303632925,30-40,34,Male,Diploma,Employed,Married,3,0.02,0.9,0.0,0.0,0.07,0.0,742,643349600.0,1.8,0.5,0.5,Tenant,Rural
1400,22303632929,40-50,49,Female,Diploma,Employed,Divorced,3,0.53,0.47,0.0,0.0,0.0,0.0,742,709385600.0,2.0,0.5,2.0,Other,Rural
1400,22303632932,30-40,35,Male,Under_Diploma,Employed,Married,4,0.04,0.51,0.0,0.0,0.32,0.12,742,933494320.0,2.1,1.0,3.0,Owner,Rural
1400,22303632935,50-60,50,Male,Diploma,Employed,Married,4,0.0,0.91,0.0,0.0,0.09,0.0,742,781476000.0,2.5,0.0,0.33,Tenant,Rural
1400,22317638223,50-60,52,Male,Under_Diploma,Employed,Married,4,0.08,0.73,0.0,0.0,0.19,0.0,428,482844000.0,2.3,0.33,3.0,Owner,Rural
1400,22317638227,30-40,39,Male,Under_Diploma,Employed,Married,3,0.06,0.6,0.0,0.0,0.2,0.14,428,574496000.0,1.8,0.5,2.0,Owner,Rural
1400,22317638232,60-70,65,Female,Diploma,Housekeeper,Widowed,1,0.01,0.0,0.74,0.0,0.25,0.0,428,304824000.0,1.0,1.0,1.0,Owner,Rural
1400,22317638235,30-40,33,Male,Under_Diploma,Employed,Married,4,0.09,0.7,0.0,0.0,0.21,0.0,428,341766000.0,2.1,1.0,3.0,Owner,Rural
1400,22306634135,50-60,52,Male,Illiterate,Income_without_Work,Married,4,0.34,0.08,0.58,0.0,0.0,0.0,452,541310000.0,2.5,0.0,3.0,Other,Rural
1400,22306634132,50-60,50,Male,Under_Diploma,Income_without_Work,Divorced,3,0.09,0.29,0.45,0.0,0.16,0.02,452,443705000.0,2.0,0.0,2.0,Owner,Rural
1400,22306634121,30-40,34,Male,Diploma,Employed,Married,4,0.08,0.7,0.0,0.0,0.14,0.08,452,727050000.0,2.1,1.0,3.0,Owner,Rural
1400,22306634123,Above 70,77,Female,Under_Diploma,Income_without_Work,Widowed,2,0.05,0.0,0.76,0.0,0.19,0.0,452,452418000.0,1.5,1.0,2.0,Owner,Rural
1400,22306634126,60-70,66,Female,Illiterate,Housekeeper,Widowed,1,0.09,0.0,0.66,0.0,0.26,0.0,452,217566000.0,1.0,1.0,1.0,Owner,Rural
1400,22306634129,40-50,47,Male,Under_Diploma,Employed,Married,4,0.08,0.77,0.0,0.0,0.14,0.0,452,337957000.0,2.3,0.33,3.0,Owner,Rural
1400,22313636923,40-50,41,Male,Illiterate,Employed,Married,6,0.0,0.88,0.0,0.0,0.12,0.0,580,399834000.0,3.3,0.2,1.0,Owner,Rural
1400,22313636926,40-50,41,Male,Under_Diploma,Employed,Married,7,0.0,0.58,0.0,0.0,0.42,0.0,580,959077000.0,3.6,0.75,0.75,Owner,Rural
1400,22313636929,Above 70,78,Male,Under_Diploma,Other,Married,2,0.64,0.0,0.0,0.0,0.36,0.0,580,658716000.0,1.5,1.0,2.0,Owner,Rural
1400,22313636932,60-70,63,Male,Under_Diploma,Employed,Married,2,0.03,0.18,0.64,0.0,0.16,0.0,580,499778000.0,1.5,0.0,1.0,Owner,Rural
1400,22313636935,30-40,38,Male,Under_Diploma,Employed,Married,6,0.0,0.87,0.0,0.0,0.13,0.0,580,390280000.0,2.9,2.0,2.0,Owner,Rural
1400,22302632021,30-40,32,Male,Under_Diploma,Employed,Married,5,0.12,0.76,0.0,0.0,0.11,0.0,404,431340000.0,2.4,1.5,4.0,Tenant,Rural
1400,22302632030,50-60,54,Male,Illiterate,Employed,Married,2,0.0,0.7,0.0,0.0,0.3,0.0,404,433540000.0,1.5,0.0,1.0,Owner,Rural
1400,22317638221,60-70,60,Male,Illiterate,Employed,Married,2,0.06,0.85,0.0,0.0,0.08,0.0,428,233626000.0,1.5,0.0,1.0,Tenant,Rural
1400,22302632032,30-40,34,Male,Diploma,Employed,Married,5,0.36,0.64,0.0,0.0,0.0,0.0,404,631675000.0,2.4,1.5,4.0,Other,Rural
1400,22310635720,40-50,42,Male,Under_Diploma,Employed,Married,5,0.04,0.61,0.0,0.0,0.21,0.14,355,692260000.0,2.6,0.67,4.0,Owner,Rural
1400,22310635723,50-60,51,Male,Under_Diploma,Employed,Married,3,0.03,0.75,0.0,0.0,0.22,0.0,355,532654000.0,1.8,0.5,2.0,Owner,Rural
1400,22310635726,30-40,37,Male,Bachelor,Employed,Married,4,0.19,0.59,0.0,0.0,0.22,0.0,355,1260790000.0,2.1,1.0,3.0,Owner,Rural
1400,22310635729,60-70,68,Male,Illiterate,Income_without_Work,Married,3,0.02,0.37,0.34,0.0,0.18,0.09,355,789240000.0,2.0,0.5,2.0,Owner,Rural
1400,22310635732,60-70,69,Male,Under_Diploma,Employed,Married,2,0.02,0.36,0.44,0.0,0.18,0.0,355,755100000.0,1.5,1.0,1.0,Owner,Rural
1400,22310635735,30-40,37,Male,Bachelor,Employed,Married,3,0.18,0.65,0.0,0.0,0.17,0.0,355,1372490000.0,1.8,0.5,0.5,Owner,Rural
1400,22313637322,30-40,38,Male,Under_Diploma,Employed,Married,4,0.0,0.62,0.0,0.0,0.38,0.0,580,763528800.0,2.3,1.0,1.0,Owner,Rural
1400,22313637325,Above 70,70,Male,Illiterate,Employed,Married,6,0.0,0.91,0.0,0.0,0.09,0.0,580,1494979600.0,3.5,0.2,0.2,Owner,Rural
1400,22313637329,60-70,63,Male,Under_Diploma,Employed,Married,3,0.07,0.57,0.0,0.0,0.36,0.0,580,2056580400.0,2.0,0.0,2.0,Owner,Rural
1400,22319639035,40-50,43,Male,Under_Diploma,Employed,Married,5,0.23,0.67,0.0,0.0,0.09,0.0,423,481202000.0,2.6,0.67,4.0,Owner,Rural
1400,22312636120,40-50,41,Male,Under_Diploma,Employed,Married,4,0.06,0.51,0.0,0.0,0.43,0.0,396,526178000.0,2.3,0.33,3.0,Owner,Rural
1400,22309634930,40-50,49,Male,Diploma,Employed,Married,4,0.17,0.6,0.0,0.0,0.23,0.0,602,958680000.0,2.5,0.0,3.0,Owner,Rural
1400,22309634932,30-40,38,Male,Diploma,Employed,Married,3,0.07,0.81,0.0,0.0,0.12,0.0,602,339910000.0,1.8,0.5,2.0,Owner,Rural
1400,22309634935,40-50,46,Male,Under_Diploma,Employed,Married,4,0.02,0.51,0.0,0.0,0.36,0.11,602,879810000.0,2.1,1.0,3.0,Owner,Rural
1400,22312636122,Above 70,74,Female,Illiterate,Housekeeper,Widowed,3,0.11,0.0,0.0,0.0,0.89,0.0,396,348360000.0,2.0,0.5,3.0,Owner,Rural
1400,22312636126,50-60,55,Male,Under_Diploma,Employed,Married,3,0.02,0.82,0.0,0.0,0.16,0.0,396,610250000.0,2.0,0.0,0.5,Owner,Rural
1400,22312636129,30-40,30,Male,Bachelor,Employed,Married,2,0.02,0.6,0.0,0.0,0.38,0.0,396,531920000.0,1.5,0.0,1.0,Owner,Rural
1400,22312636132,50-60,55,Male,Diploma,Employed,Married,4,0.07,0.46,0.32,0.0,0.15,0.0,396,883240000.0,2.5,0.0,1.0,Owner,Rural
